frame_number,frame_size,frame_area,position,class_id,class_name,score,bbox,speed,area,area_relative,object_id,x_position,y_position,final_class,final_class_name,label
1,"(1920, 1080)",2073600,"(448, 1133)",0,Bird,0.5211892127990723,"[400.17919921875, 1105.1605224609375, 496.6739501953125, 1162.27294921875]",0.0,5511.049397662282,0.0026577205814343565,0,448,1133,5,Military_Aircraft,0 Military_Aircraft
2,"(1920, 1080)",2073600,"(447, 1136)",2,Drone,0.4936104714870453,"[412.04449462890625, 1117.9027099609375, 482.7099609375, 1155.65087890625]",94.77355624880258,2667.4919608160853,0.0012864062311034362,0,447,1136,5,Military_Aircraft,0 Military_Aircraft
3,"(1920, 1080)",2073600,"(445, 1134)",2,Drone,0.500288188457489,"[406.58599853515625, 1112.5426635742188, 484.29779052734375, 1155.6934204101562]",84.76804569668901,3353.322639539838,0.00161715019267932,0,445,1134,5,Military_Aircraft,0 Military_Aircraft
4,"(1920, 1080)",2073600,"(443, 1133)",0,Bird,0.6024531126022339,"[398.9915771484375, 1109.4388427734375, 487.531494140625, 1157.0445556640625]",67.015024300693,4215.005867689848,0.0020326995889707986,0,443,1133,5,Military_Aircraft,0 Military_Aircraft
5,"(1920, 1080)",2073600,"(440, 1133)",5,Military_Aircraft,0.7011026740074158,"[409.8005065917969, 1117.4079895019531, 471.0346374511719, 1149.4864807128906]",89.91008991008991,1964.2985285818577,0.0009472890280583804,0,440,1133,5,Military_Aircraft,0 Military_Aircraft
6,"(1920, 1080)",2073600,"(440, 1132)",0,Bird,0.6259132623672485,"[396.5993347167969, 1109.369873046875, 485.3976135253906, 1155.0045166015625]",29.97002997002997,4052.2778016999364,0.0019542234769000465,0,440,1132,5,Military_Aircraft,0 Military_Aircraft
7,"(1920, 1080)",2073600,"(436, 1134)",0,Bird,0.6262627840042114,"[394.33209228515625, 1112.615234375, 478.3724670410156, 1155.5223388671875]",134.030048601386,3605.9291412122548,0.0017389704577605396,0,436,1134,5,Military_Aircraft,0 Military_Aircraft
8,"(1920, 1080)",2073600,"(435, 1131)",5,Military_Aircraft,0.7907201051712036,"[403.20068359375, 1116.2743225097656, 467.623046875, 1147.5735168457031]",94.77355624880258,2016.368067920208,0.0009723997241127547,0,435,1131,5,Military_Aircraft,0 Military_Aircraft
9,"(1920, 1080)",2073600,"(433, 1130)",0,Bird,0.7243996858596802,"[391.36212158203125, 1108.6431884765625, 476.27142333984375, 1151.9034118652344]",67.015024300693,3673.1953618191183,0.0017714098002599914,0,433,1130,5,Military_Aircraft,0 Military_Aircraft
10,"(1920, 1080)",2073600,"(433, 1131)",2,Drone,0.5339815616607666,"[397.68292236328125, 1113.5189208984375, 468.34234619140625, 1149.2464599609375]",29.97002997002997,2524.487324953079,0.0012174418040861686,0,433,1131,5,Military_Aircraft,0 Military_Aircraft
